Collection State Code,Year,Month,Day,Collection Site Code,Commodity Code,Analyzing Lab Code,Source ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
CA,02,07,10,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,07,10,0112,AC,OH1,,AC,157,Thiabendazole,B,0.31,0.03,M,D,,,M,O,15,16,10.0
CA,02,07,10,0151,AC,OH1,,AC,157,Thiabendazole,B,0.25,0.03,M,D,,,M,O,15,16,10.0
CA,02,07,10,0300,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,07,10,0316,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,07,10,0328,AC,OH1,,AC,157,Thiabendazole,B,0.16,0.03,M,D,,,M,O,15,16,10.0
CA,02,07,10,0450,AC,OH1,,AC,157,Thiabendazole,B,0.29,0.03,M,D,,,M,O,15,16,10.0
CA,02,08,14,0112,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,08,14,0146,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,08,14,0150,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,08,14,0152,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.053,0.01,M,MO,,,M,O,15,7,10
CA,02,08,14,0273,AC,OH1,,AC,157,Thiabendazole,B,0.14,0.03,M,D,,,M,O,15,16,10.0
CA,02,08,14,0328,AC,OH1,,AC,157,Thiabendazole,B,0.24,0.03,M,D,,,M,O,15,16,10.0
CA,02,08,14,0450,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,09,11,0000,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,09,11,0001,AC,OH1,,AC,157,Thiabendazole,B,0.17,0.03,M,D,,,M,O,15,16,10.0
CA,02,09,11,0112,AC,OH1,,AC,157,Thiabendazole,B,0.23,0.03,M,D,,,M,O,15,16,10.0
CA,02,09,11,0150,AC,OH1,,AC,157,Thiabendazole,B,0.32,0.03,M,D,,,M,O,15,16,10.0
CA,02,09,11,0151,AC,OH1,,AC,157,Thiabendazole,B,0.27,0.03,M,D,,,M,O,15,16,10.0
CA,02,09,11,0152,AC,OH1,,AC,157,Thiabendazole,B,0.38,0.03,M,D,,,M,O,15,16,10.0
CA,02,09,11,0273,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.058,0.01,M,MO,,,M,O,15,7,10
CA,02,09,11,0319,AC,OH1,,AC,083,O-Phenylphenol,I,0.017,0.01,M,MO,,Q,M,O,15,7,25.0
CA,02,09,11,0467,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,10,23,0000,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,10,23,0001,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.017,0.01,M,MO,,Q,M,O,15,7,10
CA,02,10,23,0151,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.037,0.01,M,MO,,,M,O,15,7,10
CA,02,10,23,0152,AC,OH1,,AC,157,Thiabendazole,B,0.11,0.03,M,D,,,M,O,15,16,10.0
CA,02,10,23,0363,AC,OH1,,AC,157,Thiabendazole,B,0.05,0.03,M,D,,Q,M,O,15,16,10.0
CA,02,10,23,0412,AC,OH1,,AC,125,Diphenylamine (DPA),F,0.05,0.01,M,MO,,,M,O,15,7,10
