Collection State Code,Year,Month,Normalized_Concentration
CA,2,7,0.017
CA,2,7,0.31
CA,2,7,0.25
CA,2,7,0.05
CA,2,7,0.05
CA,2,7,0.16
CA,2,7,0.29
CA,2,8,0.017
CA,2,8,0.017
CA,2,8,0.017
CA,2,8,0.053
CA,2,8,0.14
CA,2,8,0.24
CA,2,8,0.017
CA,2,9,0.05
CA,2,9,0.17
CA,2,9,0.23
CA,2,9,0.32
CA,2,9,0.27
CA,2,9,0.38
CA,2,9,0.058
CA,2,9,0.017
CA,2,9,0.017
CA,2,10,0.017
CA,2,10,0.017
CA,2,10,0.037
CA,2,10,0.11
CA,2,10,0.05
CA,2,10,0.05
CA,2,10,0.061
CA,2,11,0.017
CA,2,11,0.05
CA,2,11,0.21
CA,2,11,0.017
CA,2,11,0.05
CA,2,11,0.046
CA,2,11,0.022
CA,2,11,0.5
CA,2,11,0.77
CA,2,12,0.05
CA,2,12,0.062
CA,2,12,0.63
CA,2,12,0.022
CA,2,12,0.017
CA,2,12,0.072
CO,2,7,0.05
CO,2,7,0.05
CO,2,8,0.017
CO,2,8,0.057
CO,2,9,0.19
CO,2,10,0.017
CO,2,11,0.05
CO,2,11,0.017
FL,2,7,0.017
FL,2,8,0.017
FL,2,8,0.017
FL,2,8,0.017
FL,2,8,0.05
FL,2,9,0.017
FL,2,9,0.017
FL,2,10,0.19
FL,2,11,0.054
FL,2,11,0.017
FL,2,12,0.017
FL,2,12,0.017
FL,2,12,0.017
MD,2,8,0.017
MD,2,9,0.045
MD,2,9,0.12
MD,2,10,0.017
MD,2,10,0.1
MD,2,11,0.036
MD,2,12,0.046
MD,2,12,0.017
MI,2,7,0.17
MI,2,8,0.079
MI,2,8,0.16
MI,2,8,0.24
MI,2,8,0.069
MI,2,8,0.05
MI,2,9,0.079
MI,2,9,0.21
MI,2,9,0.017
MI,2,10,0.17
MI,2,10,0.14
MI,2,11,0.17
MI,2,11,0.017
MI,2,12,0.14
MI,2,12,0.017
NY,2,7,0.063
NY,2,7,0.09
NY,2,7,0.015
NY,2,7,0.076
NY,2,7,0.082
NY,2,8,0.017
NY,2,8,0.017
NY,2,9,0.017
NY,2,9,0.017
NY,2,9,0.017
NY,2,9,0.017
NY,2,9,0.017
NY,2,9,0.017
